"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2109","1448506_at",-2.44358193156585,7.69007838198326,-25.9249352330413,2.35324901829099e-17,1.53455368482755e-13,29.4615911300616
"219","1427115_at",-2.02586624371531,8.4500342239699,-23.125479558544,2.36485698972708e-16,5.23980451036813e-13,27.3500700955403
"2452","1437752_at",2.47047212681388,9.08539776791754,23.1034735223215,2.41058327420708e-16,5.23980451036813e-13,27.3323108914759
"6148","1460693_a_at",-2.19062975036183,7.42048993538037,-20.5163739010967,2.5991245646381e-15,4.23722282150126e-12,25.1006662978377
"160","1451191_at",1.78571100710777,10.5477143184539,19.9934601299945,4.34466452504937e-15,5.66631147356939e-12,24.6120792284811
"4387","1418464_at",-1.68962405234583,7.1453290132211,-19.8102484958597,5.21657956208797e-15,5.66955255406261e-12,24.4376471259684
"19","1419332_at",-2.0448891843242,7.09417869836377,-18.84636831351,1.40119206808376e-14,1.30531049656774e-11,23.4909218524924
"2877","1437355_at",-1.69151622793563,7.46301249481001,-18.5519937056975,1.91194237186221e-14,1.55847202586418e-11,23.1916682245443
"3631","1415832_at",-2.32856940497197,7.80019077389911,-18.3254240483906,2.43594780804193e-14,1.76497951736016e-11,22.9579842429999
"3448","1434583_at",-1.56436050945101,6.58985398877551,-17.5359758080828,5.78671058538782e-14,3.71188551040779e-11,22.1200558333716
"3796","1416561_at",-1.65737255194399,6.85916513182892,-17.4655514432676,6.26142318884921e-14,3.71188551040779e-11,22.0434617557054
"4980","1419608_a_at",-1.44124158367404,7.13347491553464,-16.720946528331,1.46655078870446e-13,7.96948141095149e-11,21.2142549387411
"4523","1417950_a_at",-1.72168136141064,9.5960786606682,-16.5249358204057,1.84491522693929e-13,9.25437861143931e-11,20.9899117471517
"2142","1418047_at",-1.98615095398249,6.62456369199651,-16.3995566247987,2.13931335963968e-13,9.9646160130074e-11,20.8450424142687
"685","1427168_a_at",-1.58025425369584,7.9654887482901,-16.2691387281662,2.498089103429e-13,1.0536661104668e-10,20.6932039156927
"2349","1423671_at",-1.95405667479233,7.80566757669152,-16.1972024427889,2.72236934519861e-13,1.0536661104668e-10,20.6089468816245
"4015","1422460_at",1.26686570117671,10.6270070517781,16.1897225349777,2.74686763961594e-13,1.0536661104668e-10,20.6001651078686
"1439","1452142_at",-1.18342569096406,6.58004079506958,-16.0827990337745,3.12337138014395e-13,1.13152804277326e-10,20.4742018577832
"1652","1448326_a_at",1.54346132653299,10.1581938462479,15.8160407447269,4.31716907482782e-13,1.48169787036591e-10,20.1563984362783
"3400","1416726_s_at",1.08225640677659,11.8718302686225,15.4573455983508,6.72116755377529e-13,2.19143668090843e-10,19.7209105529886
"1225","1420512_at",-1.23021372360334,7.0544022269738,-15.1827256319151,9.48858241895119e-13,2.94643075971337e-10,19.380999214611
"2997","1452779_at",-1.10891403041562,7.19164035063258,-15.0884184429519,1.06943912554493e-12,3.16991478985385e-10,19.2629410748894
"4086","1449071_at",1.58097544769317,10.084616731103,15.0036947802774,1.1914183322005e-12,3.37792997577367e-10,19.1562923880487
"5855","1458229_at",-1.30748690055981,6.39965032431481,-14.9491430524828,1.2775712637834e-12,3.47126758797147e-10,19.0873271257969
"3951","1419376_at",-1.50293814216485,7.74364912890948,-14.9137333608083,1.33695293537336e-12,3.48730803662787e-10,19.0424365828176
"520","1421175_at",-1.34799355794639,6.778193083463,-14.7406198882709,1.67165117600531e-12,4.19262973797333e-10,18.8215445228328
"1718","1429679_at",-1.55480934475904,7.80659998177546,-14.6567198696957,1.86429017439388e-12,4.50260601008239e-10,18.7136276967836
"4871","1434969_at",-1.69585166053428,7.13618183439416,-14.5933308813077,2.02512148882749e-12,4.60695252714767e-10,18.6317168687324
