"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1502","1436717_x_at",-5.39275945324247,11.5282876125635,-46.9462708946105,1.20877122267417e-22,7.88239714305824e-19,41.4853287482337
"1978","1434353_at",2.75616634661706,6.97500525662088,42.3351910494569,1.02303419904124e-21,3.33560300597397e-18,39.5577488388893
"6086","1419555_at",3.1422413402045,7.14993576492449,39.5496953394613,4.16281749050192e-21,9.048577618521e-18,38.2631970122264
"32","1425035_s_at",2.34068099004824,6.65355676781082,38.5922831780412,6.89591652036758e-21,1.12420679073292e-17,37.7927108626836
"1889","1417482_at",3.14691523034681,6.84196260332231,37.4102692778219,1.30810232857967e-20,1.70602705693361e-17,37.1924246411755
"6626","1423429_at",3.5743375382761,8.00884761971663,36.1646190185109,2.62456429802087e-20,2.85246396456569e-17,36.5352974080657
"4086","1449071_at",-3.28085095069116,10.084616731103,-34.8108479722993,5.74643645887388e-20,5.35321602118808e-17,35.7907635105365
"3696","1418157_at",-3.43537187690285,9.31050589247903,-34.2978360474846,7.79344487313998e-20,6.21586592094101e-17,35.4999128263075
"4722","1434739_at",2.55476308743628,7.08896770227003,34.1376945457911,8.57886724251941e-20,6.21586592094101e-17,35.4081059987671
"1008","1448837_at",1.92326315160833,6.96837079077939,31.832170181988,3.59467156951438e-19,2.21590384162291e-16,34.0299237606525
"1652","1448326_a_at",-2.77319168308411,10.1581938462479,-31.7714414220825,3.73791477654532e-19,2.21590384162291e-16,33.9921276649975
"4975","1426208_x_at",-2.70426808346435,11.7200567595725,-31.2396742392051,5.27926321327137e-19,2.86883961781188e-16,33.6577139324404
"742","1434165_at",2.14788233190276,7.87083746589452,30.9622414670201,6.33545039221095e-19,2.9861264830813e-16,33.4807414859659
"1528","1417216_at",2.1985233537033,7.51455515942797,30.9443034096907,6.41094475742036e-19,2.9861264830813e-16,33.4692389231513
"255","1419614_at",2.40028063201644,7.73423337363746,30.0768754686055,1.14596241005842e-18,4.98188058399397e-16,32.9041164519576
"4144","1418876_at",-2.44389048537408,7.95709932651691,-29.5074751042787,1.69264635219715e-18,6.8985917891735e-16,32.5234071873908
"3875","1417828_at",2.15468606527575,6.96864933636728,27.8153762833291,5.63665094564594e-18,2.16215298920924e-15,31.3434854957868
"5940","1460722_at",2.2292008011574,7.12710150275829,27.2553427428439,8.52342013757849e-18,3.0878457065083e-15,30.9360051094451
"41","1417392_a_at",2.34740566897077,7.53119104068089,26.8380817814318,1.16603290259398e-17,4.00194766200809e-15,30.6266064878378
"5345","1434436_at",2.51270875170536,8.35798116580472,26.592692657722,1.40503427361194e-17,4.58111424911173e-15,30.4422763538867
"2572","1460226_at",2.90356536192454,6.90141302968155,26.4824278223103,1.52863418338054e-17,4.74677309991644e-15,30.3588658501144
"2623","1434973_at",1.97077112762176,7.30100098720728,25.543883461047,3.17637175671113e-17,9.41505464796059e-15,29.6338553016544
"160","1451191_at",-2.02049402920681,10.5477143184539,-25.2923604953657,3.88079461059795e-17,1.10028963720475e-14,29.4348482205128
"4065","1448553_at",-2.40503983777212,9.0070581835289,-24.487435965733,7.46220616833172e-17,2.02754360098713e-14,28.7839842168807
"4973","1444038_at",1.6673306476559,6.97545522698271,24.3578609940271,8.30599289349908e-17,2.1665351863403e-14,28.6771603704661
"5617","1419271_at",-2.14104819465467,7.55534763584105,-24.287504333073,8.80542634845096e-17,2.20846866224034e-14,28.6189134284067
"3882","1424448_at",1.91466122170811,7.486479102738,24.2039062529374,9.43998445987964e-17,2.27993106158797e-14,28.5494796976375
"1237","1450626_at",1.54896586871417,7.20338432386524,23.9229324537823,1.19471228189173e-16,2.78239956793427e-14,28.3143072640157
"184","1419018_at",2.29090932814501,6.7621171579012,23.6332813800709,1.52719442784357e-16,3.43408098757515e-14,28.0689134864149
"265","1417837_at",2.0825516402136,8.74014368491377,22.6648131247837,3.54378007213741e-16,7.70299661680269e-14,27.2257805876298
"1393","1433734_at",2.4666089462929,7.50987804976548,22.450115997883,4.2901016180035e-16,9.02443633903252e-14,27.0339744100412
"441","1416041_at",2.29327289614414,8.67593183746231,22.0443019561277,6.18551502768506e-16,1.26049198423545e-13,26.6663807383093
"3043","1435184_at",-1.43443204958424,7.44974065752198,-21.9120884493919,6.97799642343158e-16,1.34954042848875e-13,26.5451660757785
"3906","1419399_at",1.90509760887327,7.79989314008276,21.9029741036782,7.03640155936474e-16,1.34954042848875e-13,26.5367832675903
"2147","1434263_at",1.53013649813641,7.60818435550388,21.6823194505033,8.61810676792359e-16,1.60567640667513e-13,26.332778718834
"1461","1416382_at",2.19685878279206,9.2838867366595,21.5046991666049,1.01601198937765e-15,1.84039282853657e-13,26.1670664185887
"3695","1426990_at",2.77908236891167,7.35180300443195,21.3664017272105,1.15594101139442e-15,2.03726792846027e-13,26.0371045444548
"179","1418756_at",1.55547987660777,7.11979058239467,21.2392707637621,1.30239284535123e-15,2.23497466961457e-13,25.9169046950638
"4863","1448783_at",1.87703620333677,7.11428303791708,20.7283669815165,2.11757460428821e-15,3.50145429531615e-13,25.4266435724022
"1370","1419537_at",1.38751374124526,6.95056661551183,20.7136389373856,2.14780205202647e-15,3.50145429531615e-13,25.4123363567005
"2440","1429511_at",2.12366982731144,6.52154184184744,20.5338300617096,2.55545339249326e-15,4.06441745669477e-13,25.2368629902407
"2134","1417078_at",1.49919681272702,7.93634731303654,20.5016572652887,2.63654827539499e-15,4.09355507234542e-13,25.2053085724025
"6252","1420918_at",1.88393683361872,7.73846850408833,20.4358023645508,2.81104794614092e-15,4.26298689692673e-13,25.1405693678928
"902","1417760_at",1.60834982289337,6.36080506394705,19.9527859850517,4.52410929492734e-15,6.7049356164139e-13,24.6594752221492
"1062","1438452_at",-1.88460490569972,7.76389550816088,-19.5210281812683,6.98449983246411e-15,1.01213163127774e-12,24.2198547739609
"4431","1448883_at",2.24848173555522,9.18952415835165,19.4122512428431,7.80269724111157e-15,1.1061171458541e-12,24.1076299587963
