"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1418456_a_at",-1.49231214481845,7.33795795030802,-15.0564610394835,1.3934359515273e-14,1.44917338958839e-12,23.2968866988838
"1418457_at",-1.45098766755485,7.42417308952334,-13.910972881383,9.18053180934879e-14,4.77387654086137e-12,21.3878361635773
"1451832_at",-0.996210491069811,6.67805524857257,-11.946988965364,3.11834600649655e-12,1.08102661558547e-10,17.8094716418311
"1432273_a_at",-0.889223672629135,7.58023646739813,-11.0515861305204,1.78543587830848e-11,4.64213328360206e-10,16.0356485019443
"1448823_at",-0.713221060725777,8.90349588600753,-8.89344665909564,1.78889818522767e-09,3.72090822527355e-08,11.3505403961862
"1419426_s_at",-0.82813562158356,7.17055327989205,-8.20175270714017,8.8997203870429e-09,1.54261820042077e-07,9.72041855137291
"1438007_at",-0.71601698477629,6.65738082018472,-7.811274171234,2.26376076648975e-08,3.36330171021335e-07,8.77273348679036
"1417625_s_at",-0.558805076100089,8.80191165327968,-5.63639237399983,5.72248902982586e-06,7.43923573877362e-05,3.18251126985581
"1457644_s_at",-0.386377432485989,6.97785811691366,-4.77925149141128,5.63092702598088e-05,0.000650684900780012,0.895982226793207
"1434962_x_at",-0.419148770654456,7.16164995943894,-4.50840340333025,0.000116190862212072,0.00120838496700554,0.17658556437565
"1448710_at",0.516488940190149,8.19218581298003,4.37677206655308,0.000165087374951258,0.00156082609044826,-0.171136625224663
"1419188_s_at",-0.37127814546296,7.85711713839554,-3.79537256009401,0.000767281176705006,0.00617738057370348,-1.68159437176715
"1450020_at",-0.328441617590277,6.89112954247386,-3.79293910679051,0.000772172571712935,0.00617738057370348,-1.68780003192474
