"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1421404_at",-3.47311221819949,6.61761769187622,-41.5785191174383,7.60997531348761e-26,7.91437432602712e-24,49.2154418605085
"1456428_at",-2.44886278890695,6.48118643836872,-31.8723620003257,8.13851428008724e-23,4.23202742564537e-21,42.1524987033165
"1417266_at",-0.712293547867403,6.6479250125386,-8.95643728286444,1.55058887911758e-09,5.37537478094093e-08,10.7793382554993
"1427419_x_at",-0.629468519919191,6.07823914074668,-7.58071664365391,3.96523533090915e-08,1.03096118603638e-06,7.46661429898695
"1432273_a_at",0.559245414368079,7.58023646739813,6.34490911438812,8.93457147027942e-07,1.85839086581812e-05,4.29881561207815
"1419282_at",-0.525563113544863,6.12686490625258,-6.10957184837237,1.64773647396344e-06,2.85607655486997e-05,3.67889269030751
"1418777_at",-0.428899756617493,7.17346613365296,-4.98535396554523,3.2435536738746e-05,0.000481899402975654,0.67791174728619
"1421920_a_at",-0.316301685725265,5.94882036084842,-4.0811877041789,0.000361936110028599,0.00470516943037179,-1.7205415481466
"1448823_at",-0.33129634344405,8.90349588600753,-3.77113400561526,0.000817387731183373,0.00944536933811897,-2.5209151000627
"1417851_at",0.265774198139821,6.81455601769613,3.22460629902806,0.00331371528963746,0.0344626390122295,-3.87928530344243
"1421186_at",0.265967546542869,6.23357190408495,3.16668351833427,0.00382956104970539,0.0362067590153964,-4.01816627376109
"1449195_s_at",-0.258313141116546,6.35565080531422,-3.06742029222577,0.00489739233312392,0.042444066887074,-4.25346882058189
