"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID","Transcript.stable.ID.version","Gene.description","Gene.type","MGI.symbol"
"1","1415803_at",0.268100891344728,6.78736778382619,4.2421449708357,0.000236222995022705,0.00307089893529517,0.0128029782710355,"ENSMUSG00000031778","ENSMUSG00000031778.14","ENSMUST00000034230","ENSMUST00000034230.7","chemokine.(C-X3-C.motif).ligand.1.[Source:MGI.Symbol;Acc:MGI:1097153]","protein_coding","Cx3cl1"
"2","1417574_at",-0.70616820931858,9.02278653733567,-8.18327114130861,9.29760131158418e-09,4.36585749901432e-07,10.0886572805928,"ENSMUSG00000061353","ENSMUSG00000061353.12","ENSMUST00000112871","ENSMUST00000112871.8","chemokine.(C-X-C.motif).ligand.12.[Source:MGI.Symbol;Acc:MGI:103556]","protein_coding","Cxcl12"
"4","1417625_s_at",-0.714331831018979,8.80191165327968,-8.05556276053708,1.25938197086952e-08,4.36585749901432e-07,9.78581234391708,"ENSMUSG00000044337","ENSMUSG00000044337.6","ENSMUST00000065587","ENSMUST00000065587.5","atypical.chemokine.receptor.3.[Source:MGI.Symbol;Acc:MGI:109562]","protein_coding","Ackr3"
"5","1419489_at",-0.233287921514471,6.84741541573057,-3.19605051580703,0.0035590732881209,0.0336494201785976,-2.60870509933925,"ENSMUSG00000054863","ENSMUSG00000054863.10","ENSMUST00000068088","ENSMUST00000068088.8","TAFA.chemokine.like.family.member.5.[Source:MGI.Symbol;Acc:MGI:2146182]","protein_coding","Tafa5"
"7","1419490_at",-0.645809414329589,7.324603538384,-8.39339314155708,5.66983461278118e-09,4.36585749901432e-07,10.582167318723,"ENSMUSG00000054863","ENSMUSG00000054863.10","ENSMUST00000068088","ENSMUST00000068088.8","TAFA.chemokine.like.family.member.5.[Source:MGI.Symbol;Acc:MGI:2146182]","protein_coding","Tafa5"
"9","1424495_a_at",0.453484896207542,7.89258179800342,4.77777803442398,5.65317770914192e-05,0.000839900688215371,1.41743215675963,"ENSMUSG00000054400","ENSMUSG00000054400.17","ENSMUST00000098464","ENSMUST00000098464.6","chemokine-like.factor.[Source:MGI.Symbol;Acc:MGI:1922708]","protein_coding","Cklf"
"15","1425860_x_at",0.35779520860682,8.11335190938915,3.66045217967614,0.00108995979427366,0.011335581860446,-1.47411049975961,"ENSMUSG00000054400","ENSMUSG00000054400.17","ENSMUST00000212410","ENSMUST00000212410.2","chemokine-like.factor.[Source:MGI.Symbol;Acc:MGI:1922708]","protein_coding","Cklf"
"18","1436242_a_at",0.42979517574436,8.64379448604309,5.62963823048104,5.82578755134679e-06,0.000100980317556678,3.66713740441021,"ENSMUSG00000110642","ENSMUSG00000110642.2","ENSMUST00000212847","ENSMUST00000212847.2","predicted.gene.45710.[Source:MGI.Symbol;Acc:MGI:5804825]","unprocessed_pseudogene","Gm45710"
"24","1448710_at",-0.759797100168314,8.19218581298003,-7.19855856070028,1.01910834998583e-07,2.11974536797053e-06,7.69857182482508,"ENSMUSG00000045382","ENSMUSG00000045382.7","ENSMUST00000052172","ENSMUST00000052172.7","chemokine.(C-X-C.motif).receptor.4.[Source:MGI.Symbol;Acc:MGI:109563]","protein_coding","Cxcr4"
"26","1448823_at",-0.537278512981431,8.90349588600753,-7.4903209080959,4.94903603266035e-08,1.28674936849169e-06,8.41964195087773,"ENSMUSG00000061353","ENSMUSG00000061353.12","ENSMUST00000134244","ENSMUST00000134244.2","chemokine.(C-X-C.motif).ligand.12.[Source:MGI.Symbol;Acc:MGI:103556]","protein_coding","Cxcl12"
"28","1451374_x_at",0.3480839670663,7.11682056501135,4.14807442797836,0.000303205142832195,0.00350370387272759,-0.231177330281147,"ENSMUSG00000054400","ENSMUSG00000054400.17","ENSMUST00000211809","ENSMUST00000211809.2","chemokine-like.factor.[Source:MGI.Symbol;Acc:MGI:1922708]","protein_coding","Cklf"
