"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415698_at",-0.719548085262804,10.0432644425428,-7.18920760415375,4.53860793119436e-07,5.69158890756123e-06,5.78473265132975,"ENSMUST00000095739","ENSMUSG00000021556","ENSMUSG00000021556.13","ENSMUST00000095739.10","13","Golm1","Golm1","ENSMUSG00000021556","Golm1","105348","Mm.171335/Mm.409995/Mm.417322","Mm.171335/Mm.409995/Mm.417322","13","59634996","4","intestine_large/intestine_small/mega_erythrocyte_progenitor/NK_cells/placenta/stomach/uterus","intestine_large"
"3","1415749_a_at",0.633541771029797,9.22846906142888,6.51962641190005,1.91158028249637e-06,1.98178299239409e-05,4.31378819487963,"ENSMUST00000030399","ENSMUSG00000028646","ENSMUSG00000028646.17","ENSMUST00000030399.7","4","Rragc","Rragc","ENSMUSG00000028646","Rragc","54170","Mm.220922/Mm.473825","Mm.220922/Mm.473825","4","123917446","1","macrophage_bone_marrow_24h_LPS/macrophage_peri_LPS_thio_0hrs/macrophage_peri_LPS_thio_7hrs/mast_cells_IgE/mast_cells_IgE+antigen_6hr/microglia/osteoclasts","osteoclasts"
"5","1415760_s_at",0.422481873858715,9.71573153318941,3.86435011621559,0.000906687335437081,0.00454109686204701,-1.90594118653023,"ENSMUST00000108857","ENSMUSG00000018585","ENSMUSG00000018585.10","ENSMUST00000108857.2","11","Atox1","Atox1","ENSMUSG00000018585","Atox1","11927",NA,NA,"11","55446641","1","macrophage_bone_marrow_0hr/microglia/osteoclasts","osteoclasts"
"6","1415770_at",-0.63889345618542,10.023080951377,-5.52388655662193,1.79897604522143e-05,0.000146455964929949,2.03070221361394,"ENSMUST00000068700","ENSMUSG00000066357","ENSMUSG00000066357.7","ENSMUST00000068700.7","9","Wdr6","Wdr6","ENSMUSG00000066357","Wdr6","83669","Mm.335454/Mm.481124","Mm.335454/Mm.481124","9","108572313","3","adrenal_gland/amygdala/hypothalamus/min6/pituitary/retina/retinal_pigment_epithelium","hypothalamus"
"7","1415780_a_at",-1.03939073043362,10.0391914438001,-11.0221802144589,3.69691405433102e-10,1.14797983563298e-08,13.0935115317907,"ENSMUST00000119010","ENSMUSG00000033436","ENSMUSG00000033436.14","ENSMUST00000119010.8","X","Armcx2","Armcx2","ENSMUSG00000033436","Armcx2","67416","Mm.285969/Mm.457373","Mm.285969/Mm.457373","X","134804145","1","3T3-L1/ciliary_bodies/dendritic_plasmacytoid_B220+/iris/lens/osteoblast_day14/osteoblast_day5/retina/stem_cells__HSC","lens"
"11","1415793_at",0.452281087432633,9.13205226489155,4.5348693868221,0.00018350380157564,0.00112570864541369,-0.3134816836068,"ENSMUST00000153896","ENSMUSG00000018659","ENSMUSG00000018659.13","ENSMUST00000153896.2","11","Pnpo","Pnpo","ENSMUSG00000018659","Pnpo","103711","Mm.254704/Mm.446659","Mm.254704/Mm.446659","11","96937825","3","bone/bone_marrow/liver","liver"
"13","1415802_at",1.06535212270763,10.7305486501305,9.59471227681765,4.22821321409515e-09,9.50764771348774e-08,10.586861544383,"ENSMUST00000046212","ENSMUSG00000032902","ENSMUSG00000032902.2","ENSMUST00000046212.2","3","Slc16a1","Slc16a1","ENSMUSG00000032902","Slc16a1","20501","Mm.9086/Mm.468394","Mm.9086/Mm.468394","3","104638668","5","bone_marrow/intestine_large/placenta/retinal_pigment_epithelium/stomach/thymocyte_DP_CD4+CD8+","retinal_pigment_epithelium"
"14","1415803_at",0.268100891344728,6.78736778382619,4.23298833463744,0.00037668964059165,0.00209706973729787,-1.03294838969165,"ENSMUST00000034230","ENSMUSG00000031778","ENSMUSG00000031778.14","ENSMUST00000034230.7","8","Cx3cl1","Cx3cl1","ENSMUSG00000031778","Cx3cl1","20312","Mm.103711/Mm.397008/Mm.475039","Mm.103711/Mm.397008/Mm.475039","8","94772009","2","amygdala/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_striatum/hippocampus/hypothalamus/intestine_small/nucleus_accumbens/olfactory_bulb/osteoblast_day14/osteoblast_day21/pituitary/spinal_cord","cerebral_cortex"
"15","1415806_at",-0.731945978465675,8.17919714623585,-9.93150048118543,2.32956340316961e-09,5.62632701928482e-08,11.2000096413888,"ENSMUST00000033941","ENSMUSG00000031538","ENSMUSG00000031538.7","ENSMUST00000033941.7","8","Plat","Plat","ENSMUSG00000031538","Plat","18791",NA,NA,"8","22757744","5","3T3-L1/iris/kidney/lung/mIMCD-3/osteoblast_day14/osteoblast_day21/osteoblast_day5/ovary/uterus","uterus"
"16","1415810_at",-0.427661360842167,10.2281711452267,-5.73546920070306,1.10666981243139e-05,9.58378996927633e-05,2.5241550051106,"ENSMUST00000113035","ENSMUSG00000001228","ENSMUSG00000001228.15","ENSMUST00000113035.8","17","Uhrf1","Uhrf1","ENSMUSG00000001228","Uhrf1","18140","Mm.42196","Mm.42196","17","56303321","3","bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mega_erythrocyte_progenitor/mIMCD-3/neuro2a/nih_3T3/osteoclasts/RAW_264_7/stem_cells__HSC/testis/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","thymocyte_DP_CD4+CD8+"
