"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B","Transcript.stable.ID","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome/scaffold.name","Gene.name","MGI.symbol","ensembl.gene","gene.symbol","entrezID","refseqID","unigeneID","chrom","startsite","tiss.number","tissues","max.tissue"
"1","1415770_at",0.552828725693569,10.023080951377,3.90266508420219,0.000827703094140349,0.00986737089010825,-1.71326881241497,"ENSMUST00000068700","ENSMUSG00000066357","ENSMUSG00000066357.7","ENSMUST00000068700.7","9","Wdr6","Wdr6","ENSMUSG00000066357","Wdr6","83669","Mm.335454/Mm.481124","Mm.335454/Mm.481124","9","108572313","3","adrenal_gland/amygdala/hypothalamus/min6/pituitary/retina/retinal_pigment_epithelium","hypothalamus"
"2","1415803_at",-0.277689467956405,6.78736778382619,-3.57983156124724,0.00177956811506068,0.0175031126369694,-2.4679394158662,"ENSMUST00000034230","ENSMUSG00000031778","ENSMUSG00000031778.14","ENSMUST00000034230.7","8","Cx3cl1","Cx3cl1","ENSMUSG00000031778","Cx3cl1","20312","Mm.103711/Mm.397008/Mm.475039","Mm.103711/Mm.397008/Mm.475039","8","94772009","2","amygdala/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_striatum/hippocampus/hypothalamus/intestine_small/nucleus_accumbens/olfactory_bulb/osteoblast_day14/osteoblast_day21/pituitary/spinal_cord","cerebral_cortex"
"3","1415810_at",0.423010362681245,10.2281711452267,4.63206148486986,0.000145655662268598,0.00247994927846875,0.0195111799340699,"ENSMUST00000113038","ENSMUSG00000001228","ENSMUSG00000001228.15","ENSMUST00000113038.8","17","Uhrf1","Uhrf1","ENSMUSG00000001228","Uhrf1","18140","Mm.42196","Mm.42196","17","56303321","3","bone/bone_marrow/C2C12/C3H_10T1_2/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/mega_erythrocyte_progenitor/mIMCD-3/neuro2a/nih_3T3/osteoclasts/RAW_264_7/stem_cells__HSC/testis/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","thymocyte_DP_CD4+CD8+"
"7","1415864_at",-0.444531216128325,9.267788960574,-3.0074273278527,0.00673906516051462,0.0487740775934693,-3.76191601767058,"ENSMUST00000045372","ENSMUSG00000038871","ENSMUSG00000038871.6","ENSMUST00000045372.6","6","Bpgm","Bpgm","ENSMUSG00000038871","Bpgm","12183","Mm.282863/Mm.431390/Mm.440661","Mm.282863/Mm.431390/Mm.440661","6","34476207","5","bone/bone_marrow/skeletal_muscle/spleen/umbilical_cord","bone_marrow"
"8","1415903_at",0.443689726915126,8.86625201218264,3.69824032345122,0.0013449600247768,0.0142147233736945,-2.19264664547753,"ENSMUST00000088452","ENSMUSG00000023169","ENSMUSG00000023169.16","ENSMUST00000088452.11","15","Slc38a1","Slc38a1","ENSMUSG00000023169","Slc38a1","105727","Mm.103568/Mm.407591/Mm.410047/Mm.430778","Mm.103568/Mm.407591/Mm.410047/Mm.430778","15","96571418","2","placenta/retina/retinal_pigment_epithelium","placenta"
"11","1415922_s_at",0.499169818110548,11.8199407702072,4.72546556113193,0.000116704944948468,0.00207365925343042,0.242059817085313,"ENSMUST00000062356","ENSMUSG00000047945","ENSMUSG00000047945.7","ENSMUST00000062356.7","4","Marcksl1","Marcksl1","ENSMUSG00000047945","Marcksl1","17357","Mm.424974/Mm.443445/Mm.482672","Mm.424974/Mm.443445/Mm.482672","4","129513581","3","amygdala/dendritic_cells_lymphoid_CD8a+/dendritic_cells_myeloid_CD8a-/macrophage_bone_marrow_0hr/macrophage_bone_marrow_2hr_LPS/macrophage_bone_marrow_6hr_LPS/macrophage_peri_LPS_thio_1hrs/macrophage_peri_LPS_thio_7hrs/microglia/mIMCD-3/neuro2a/ovary/uterus","macrophage_bone_marrow_2hr_LPS"
"12","1415978_at",0.543611441304515,8.52825427566286,4.79011946296263,0.000100135258719142,0.00183938597776767,0.396013698910782,"ENSMUST00000071134","ENSMUSG00000062380","ENSMUSG00000062380.5","ENSMUST00000071134.4","8","Tubb3","Tubb3","ENSMUSG00000062380","Tubb3","22152","Mm.40068","Mm.40068","8","123411424","4","amygdala/C2C12/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia/dorsal_striatum/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/hippocampus/hypothalamus/min6/neuro2a/nucleus_accumbens/olfactory_bulb/osteoblast_day5/placenta/spinal_cord/testis","dorsal_root_ganglia"
"13","1416006_at",0.8396181082067,12.2068247785835,7.99641188082557,8.68248375734154e-08,4.56600617593744e-06,7.57337530896249,"ENSMUST00000142231","ENSMUSG00000040479","ENSMUSG00000040479.13","ENSMUST00000142231.8","2","Dgkz","Dgkz","ENSMUSG00000040479","Dgkz","104418",NA,NA,"2","91932824","2","amygdala/cerebellum/cerebral_cortex/cerebral_cortex_prefrontal/dorsal_root_ganglia","dorsal_root_ganglia"
"15","1416030_a_at",0.482995595522025,11.1994564867353,3.04897221092778,0.00612844838547811,0.0455685426701286,-3.67060139683487,"ENSMUST00000000505","ENSMUSG00000029730","ENSMUSG00000029730.17","ENSMUST00000000505.16","5","Mcm7","Mcm7","ENSMUSG00000029730","Mcm7","17220","Mm.378965/Mm.482227","Mm.378965/Mm.482227","5","138164583","2","bone/bone_marrow/C2C12/common_myeloid_progenitor/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/macrophage_bone_marrow_0hr/mega_erythrocyte_progenitor/mIMCD-3/nih_3T3/RAW_264_7/stem_cells__HSC/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","common_myeloid_progenitor"
"16","1416042_s_at",0.372853970761575,11.0821117731766,3.07339372631338,0.00579480214806398,0.0439394241947967,-3.61670005155203,"ENSMUST00000130363","ENSMUSG00000028693","ENSMUSG00000028693.16","ENSMUST00000130363.2","4","Nasp","Nasp","ENSMUSG00000028693","Nasp","50927","Mm.257181/Mm.401098/Mm.411401","Mm.257181/Mm.401098/Mm.411401","4","116601052","3","bone/bone_marrow/C2C12/embryonic_stem_line_Bruce4_p13/embryonic_stem_line_V26_2_p16/granulo_mono_progenitor/mega_erythrocyte_progenitor/mIMCD-3/nih_3T3/osteoclasts/RAW_264_7/testis/thymocyte_DP_CD4+CD8+/thymocyte_SP_CD8+","testis"
